iter	MAE
496	4097711.965
497	4097279.678
498	4095215.408
499	4092213.552
500	4092069.605
501	4090121.475
502	4087530.77
503	4085627.055
504	4083394.151
505	4082902.19
506	4081533.72
507	4081361.237
508	4080947.558
509	4079743.275
510	4077096.685
511	4077001.361
512	4073379.149
513	4071139.167
514	4067193.278
515	4065211.423
516	4064876.961
517	4064731.838
518	4062269.889
519	4062135.427
520	4059163.204
521	4058628.114
522	4057053.347
523	4056996.1
524	4054410.509
525	4054286.295
526	4054138.738
527	4050915.951
528	4050511.814
529	4049551.728
530	4049381.322
531	4049237.962
532	4048935.375
533	4046639.749
534	4044624.113
535	4042373.212
536	4041426.095
537	4041297.647
538	4040867.821
539	4038954.829
540	4037808.441
541	4037642.848
542	4035430.914
543	4034369.089
544	4034315.2
545	4031646.637
546	4031439.245
547	4031197.468
548	4031104.388
549	4029289.08
550	4029201.322
551	4027282.163
552	4027187.386
553	4024383.094
554	4024162.5
555	4020905.383
556	4019566.475
557	4019445.287
558	4015566.531
559	4014289.52
560	4012190.616
561	4012108.719
562	4010794.671
563	4009463.019
564	4007833.113
565	4007753.391
566	4007202.239
567	4005222.836
568	4004313.302
569	4001071.776
570	4000741.759
571	3999152.969
572	3997359.869
573	3997289.8
574	3997244.662
575	3997199.346
576	3997121.273
577	3997050.148
578	3995781.503
579	3993085.517
580	3992788.249
581	3992718.258
582	3991736.149
583	3991568.413
584	3989983.585
585	3989866.373
586	3988252.222
587	3985146.053
588	3984924.235
589	3984724.301
590	3984476.225
591	3984055.348
592	3983964.566
593	3983875.39
594	3983123.08
595	3983054.346
596	3979374.958
597	3977821.15
598	3975431.471
599	3973074.3
600	3972594.55
601	3970923.615
602	3969471.159
603	3969431.371
604	3969295.264
605	3968110.084
606	3965666.353
607	3965484.032
608	3963871.574
609	3961926.381
610	3959653.547
611	3958355.597
612	3958266.525
613	3955864.148
614	3955813.887
615	3954721.239
616	3951527.384
617	3949804.433
618	3947602.156
619	3947441.033
620	3945837.288
621	3943795.108
622	3942068.211
623	3939646.495
624	3938799.186
625	3937304.285
626	3936940.184
627	3934082.91
628	3932559.981
629	3930689.86
630	3928143.703
631	3926601.292
632	3923425.85
633	3923309.583
634	3922379.342
635	3921392.292
636	3920431.733
637	3917964.667
638	3916216.161
639	3916162.326
640	3915412.096
641	3915351.168
642	3912755.518
643	3910200.52
644	3910031.957
645	3909985.364
646	3909939.455
647	3908783.175
648	3907600.064
649	3906453.86
650	3905135.472
651	3904443.686
652	3903995.638
653	3902248.795
654	3901009.701
655	3900399.693
656	3899960.004
657	3899782.566
658	3897999.425
659	3897491.136
660	3897351.797
661	3896669.472
662	3896579.658
663	3894665.896
664	3894331.427
665	3891147.108
666	3889794.839
667	3889705.794
668	3889578.658
669	3888326.171
670	3888128.557
671	3887002.065
672	3885957.972
673	3885158.501
674	3885031.714
675	3884696.633
676	3884616.341
677	3884463.996
678	3882072.462
679	3879245.03
680	3878288.539
681	3877538.287
682	3877052.044
683	3876694.319
684	3876591.77
685	3876307.382
686	3874941.181
687	3874477.923
688	3874393.732
689	3873378.871
690	3870974.819
691	3870820.062
692	3870771.652
693	3869282.787
694	3868575.947
695	3867568.565
696	3865911.642
697	3864586.799
698	3863122.819
699	3862517.743
700	3862068.125
701	3861972.317
702	3860299.121
703	3859094.238
704	3857739.067
705	3856746.174
706	3855712.463
707	3855268.901
708	3855206.767
709	3854408.099
710	3852569.644
711	3851865.59
712	3850426.963
713	3849708.716
714	3849487.752
715	3847998.105
716	3845189.761
717	3844118.972
718	3844072.693
719	3843751.029
720	3842561.894
721	3841396.039
722	3840273.606
723	3838461.001
724	3838188.531
725	3837939.79
726	3835565.278
727	3835224.219
728	3835158.245
729	3834001.863
730	3833492.478
731	3833054.961
732	3832895.113
733	3832796.913
734	3832454.416
735	3831445.497
736	3830300.512
737	3829260.426
738	3829076.656
739	3827987.758
740	3827811.682
741	3826321.041
742	3825427.985
743	3824790.26
744	3824353.864
745	3822209.09
746	3822081.106
747	3822057.546
748	3820092.032
749	3819930.891
750	3819799.521
751	3819568.532
752	3818197.015
753	3817006.362
754	3816921.952
755	3815932.658
756	3814462.378
757	3813674.532
758	3811707.246
759	3811435.901
760	3811109.351
761	3810815.659
762	3810610.255
763	3809997.489
764	3809910.243
765	3809858.731
766	3809813.476
767	3809197.667
768	3807670.123
769	3805397.095
770	3804397.017
771	3804192.187
772	3804134.481
773	3802803.348
774	3802734.433
775	3802679.372
776	3801733.737
777	3801673.37
778	3801618.307
779	3800240.348
780	3800199.218
781	3798925.42
782	3798830.185
783	3798175.459
784	3798115.446
785	3797669.779
786	3797122.21
787	3797039.702
788	3796947.973
789	3796888.862
790	3796811.877
791	3794840.002
792	3792651.515
793	3792580.352
794	3790604.603
795	3790563.263
796	3789444.338
797	3789089.099
798	3789039.959
799	3788599.101
800	3788178.802
801	3788128.523
802	3787960.17
803	3787905.296
804	3787844.722
805	3787611.919
806	3787450.953
807	3787194.881
808	3787136.04
809	3785135.439
810	3784648.17
811	3784248.682
812	3783378.718
813	3781903.644
814	3781473.088
815	3781389.165
816	3781329.274
817	3780748.892
818	3780155.323
819	3780093.676
820	3778803.387
821	3778712.902
822	3778652.479
823	3778566.306
824	3778496.313
825	3778353.966
826	3778257.542
827	3778161.299
828	3777765.571
829	3777355.871
830	3775988.047
831	3775547.722
832	3775203.606
833	3774985.876
834	3774870.562
835	3773278.393
836	3772568.762
837	3771423.929
838	3771366.804
839	3770199.152
840	3769190.826
841	3768808.781
842	3768113.312
843	3766465.024
844	3765274.77
845	3764662.957
846	3763648.097
847	3763540.421
848	3763490.963
849	3761946.183
850	3761804.615
851	3761424.194
852	3761391.87
853	3760222.14
854	3760136.207
855	3758863.586
856	3758742.022
857	3755730.163
858	3755605.56
859	3754879.856
860	3753909.191
861	3753077.342
862	3753050.154
863	3752804.897
864	3752670.304
865	3750696.212
866	3750054.361
867	3747734.993
868	3747617.221
869	3747382.349
870	3747316.44
871	3746876.925
872	3744751.515
873	3744725.264
874	3743259.346
875	3742946.857
876	3740502.934
877	3740322.494
878	3738960.089
879	3738915.4
880	3738038.462
881	3735692.552
882	3734115.81
883	3733569.821
884	3733499.742
885	3732380.641
886	3732176.761
887	3730477.047
888	3729220.051
889	3729197.425
890	3728013.073
891	3727470.149
892	3726810.224
893	3726778.786
894	3726359.46
895	3725093.646
896	3724993.523
897	3724946.966
898	3723721.241
899	3722802.905
900	3722557.436
901	3721016.169
902	3719725.886
903	3719149.93
904	3718649.01
905	3716804.453
906	3715586.65
907	3714501.401
908	3713573.106
909	3712843.332
910	3711784.957
911	3711695.743
912	3711378.691
913	3711336.143
914	3710054.302
915	3709883.127
916	3709264.908
917	3708416.436
918	3707851.446
919	3706779.601
920	3705291.513
921	3704324.267
922	3703765.715
923	3703713.993
924	3703402.014
925	3702383.918
926	3702316.084
927	3701651.412
928	3701619.619
929	3701526.749
930	3700809.039
931	3700779.65
932	3700706.339
933	3700679.025
934	3699886.727
935	3699592.413
936	3699520.851
937	3698420.254
938	3698361.881
939	3697938.879
940	3697442.003
941	3697389.786
942	3696220.078
943	3694674.56
944	3694264.648
945	3693095.957
946	3692030.752
947	3692001.156
948	3690814.585
949	3690734.239
950	3690354.073
951	3690253.522
952	3688859.588
953	3688617.664
954	3688136.601
955	3687736.605
956	3687035.145
957	3686625.677
958	3686111.242
959	3685941.043
960	3685803.788
961	3685155.772
962	3685096.358
963	3685066.554
964	3684997.707
965	3684261.699
966	3684183.59
967	3683978.298
968	3683497.878
969	3682880.983
970	3682650.26
971	3682564.042
972	3682433.619
973	3681510.209
974	3681477.702
975	3681230.379
976	3681110.489
977	3680193.291
978	3680135.857
979	3679600.114
980	3679528.234
981	3679459.184
982	3679155.037
983	3678842.492
984	3678729.318
985	3678665.545
986	3677224.477
987	3677182.419
988	3677127.686
989	3675581.014
990	3675527.106
991	3675482.658
992	3675388.558
993	3675363.793
994	3675336.318
995	3673503.842
996	3672822.895
997	3672161.312
998	3672072.568
999	3672002.984
