,ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,total_cost,group_size,night_total
19,tour_1026,kenya,25-44,Alone,1,0,Business,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,0,Friendly People,377520.0,1,4
20,tour_1027,united kingdom,1-24,Alone,1,0,Volunteering,Cultural tourism,Tanzania Mission Abroad,0,0,0,0,0,0,0,0,70,0,Cash,1,"Wonderful Country, Landscape, Nature",711262.5,1,70
21,tour_1028,kenya,45-64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,1,No comments,497250.0,1,4
22,tour_1029,switzerland,45-64,Children,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,0,0,0,0,0,10,0,Credit Card,0,Friendly People,7458750.0,2,10
23,tour_103,algeria,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,0,11,Cash,1, Wildlife,3734347.5,2,11
24,tour_1030,ireland,1-24,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,others,0,0,0,0,0,0,0,0,20,6,Cash,1,Friendly People,5673325.0,2,26
25,tour_1032,denmark,1-24,Friends/Relatives,2,2,Scientific and Academic,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,15,7,Cash,1,No comments,400000.0,4,22
26,tour_1033,united kingdom,25-44,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,1,0,Credit Card,1,No comments,663000.0,1,1
27,tour_1034,germany,1-24,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,24,4,Cash,1,Good service,453866.0,1,28
28,tour_1035,spain,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,1,4,4,Cash,1, Wildlife,25442625.0,4,8
29,tour_1036,france,1-24,Alone,0,1,Leisure and Holidays,Conference tourism,others,1,0,1,1,1,1,1,1,11,3,Cash,1,"Wonderful Country, Landscape, Nature",6961500.0,1,14
30,tour_1038,united kingdom,1-24,Alone,0,1,Volunteering,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,56,0,Credit Card,0,Friendly People,1707030.0,1,56
31,tour_1039,united kingdom,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,12,0,Cash,0,Friendly People,5690100.0,1,12
32,tour_104,italy,45-64,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",1,1,1,1,0,1,0,0,6,5,Cash,1,Excellent Experience,2652000.0,2,11
33,tour_1040,egypt,1-24,Alone,0,1,Visiting Friends and Relatives,Bird watching,"Travel, agent, tour operator",1,1,1,0,0,0,0,0,2,0,Cash,1,No comments,2320500.0,1,2
34,tour_1041,united kingdom,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,11,0,Cash,0,No comments,4267575.0,1,11
35,tour_1042,qatar,25-44,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,1,1,1,0,13,10,Cash,0, Wildlife,17316000.0,4,23
36,tour_1043,mozambique,1-24,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,1,Excellent Experience,663000.0,1,3
37,tour_1045,kenya,45-64,Alone,1,0,Scientific and Academic,Mountain climbing,inflight magazines,1,1,1,0,0,0,0,0,5,0,Credit Card,0, Wildlife,3812250.0,1,5
38,tour_1046,china,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,2,0,Other,0,Friendly People,828750.0,1,2
39,tour_1047,malawi,25-44,Alone,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,21,0,Credit Card,0,Friendly People,3000000.0,1,21
40,tour_1048,united kingdom,45-64,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,10,0,Cash,0,Excellent Experience,828750.0,2,10
41,tour_1049,united kingdom,25-44,Children,0,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,29,0,Cash,0,No comments,28450500.0,3,29
42,tour_105,japan,25-44,Alone,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,27,2,Cash,1,No comments,745875.0,1,29
43,tour_1050,china,1-24,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,34,4,Cash,1,Friendly People,3273562.5,1,38
44,tour_1051,united states of america,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,others,0,0,0,0,0,0,0,0,0,5,Cash,1,No comments,3397875.0,2,5
45,tour_1052,united kingdom,45-64,Alone,0,1,Business,business,others,0,0,0,0,0,0,0,0,20,0,Cash,1,Friendly People,6132750.0,1,20
46,tour_1054,sweden,45-64,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",1,1,1,1,1,0,0,0,10,7,Credit Card,0,Friendly People,4992526.0,1,17
47,tour_1055,netherlands,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,10,4,Cash,1,No comments,1588531.0,2,14
48,tour_1057,france,25-44,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,1,4,3,Cash,1,No comments,34039950.0,3,7
49,tour_1058,uae,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,1,Cash,0,Friendly People,1657500.0,1,8
50,tour_1059,united kingdom,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,1,30,Cash,0,Friendly People,2845050.0,1,31
51,tour_1060,uganda,25-44,Spouse and Children,2,1,Meetings and Conference,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,12,5,Cash,0,Friendly People,1000000.0,3,17
52,tour_1061,ireland,25-44,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,60,7,Cash,1,"Wonderful Country, Landscape, Nature",712725.0,1,67
53,tour_1062,switzerland,1-24,Alone,1,0,Volunteering,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,2,Cash,1,Friendly People,900000.0,1,32
54,tour_1063,spain,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",1,0,1,1,1,0,0,0,1,6,Cash,0,No comments,13615980.0,2,7
55,tour_1065,united states of america,25-44,Alone,1,0,Meetings and Conference,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,5,0,Credit Card,1,Excellent Experience,1491750.0,1,5
56,tour_1066,france,65+,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,56,0,Cash,1,Friendly People,2269330.0,2,56
57,tour_1067,united kingdom,45-64,Children,2,3,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,24,6,Cash,0,No comments,33150000.0,5,30
58,tour_1068,united states of america,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,others,0,0,0,0,0,0,0,0,0,3,Cash,0,Good service,1657500.0,1,3
59,tour_107,germany,45-64,Children,0,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,0,Friendly People,2000000.0,2,4
60,tour_1070,spain,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,0,1,1,1,11,3,Cash,1, Wildlife,6807990.0,1,14
61,tour_1071,uganda,25-44,Children,1,1,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,5,0,Cash,1,Satisfies and Hope Come Back,700000.0,2,5
62,tour_1072,spain,45-64,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",1,1,1,1,1,0,0,1,4,2,Cash,1,Good service,15885310.0,2,6
63,tour_1073,japan,25-44,Friends/Relatives,1,1,Scientific and Academic,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,1,0,Cash,1,Friendly People,90000.0,2,1
64,tour_1074,france,25-44,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,1,Friendly People,400000.0,1,3
65,tour_1076,france,25-44,Spouse and Children,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,0,1,1,1,1,1,7,7,Cash,1,No comments,9945000.0,5,14
66,tour_1078,australia,25-44,Friends/Relatives,0,2,Leisure and Holidays,Conference tourism,"Friends, relatives",1,0,1,0,0,0,1,0,9,2,Cash,1,No comments,19890000.0,2,11
67,tour_1079,germany,1-24,Friends/Relatives,2,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,22,0,Cash,1,No comments,2269330.0,4,22
68,tour_108,united kingdom,25-44,Friends/Relatives,2,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",1,1,1,1,0,0,0,0,3,0,Credit Card,0,Friendly People,16773900.0,4,3
69,tour_1080,united kingdom,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,6,4,Cash,1,No comments,1989000.0,2,10
70,tour_1081,south africa,25-44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,3,0,Cash,1,No comments,331500.0,2,3
71,tour_1082,united kingdom,45-64,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,120,0,Cash,0,"Wonderful Country, Landscape, Nature",1422525.0,1,120
72,tour_1083,united states of america,1-24,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,50,0,Cash,1, Wildlife,5801250.0,4,50
73,tour_1085,south africa,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,10,0,Cash,0,No comments,165750.0,1,10
74,tour_1086,united states of america,25-44,Alone,1,0,Leisure and Holidays,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,12,0,Credit Card,1,Friendly People,2652000.0,1,12
75,tour_1088,yemen,45-64,Spouse and Children,1,2,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,14,0,Cash,0,Excellent Experience,248625.0,3,14
76,tour_109,italy,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",1,1,1,0,0,0,0,0,7,6,Cash,1,No comments,9077320.0,2,13
77,tour_1090,united states of america,45-64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,6,0,Cash,1,Good service,1193400.0,2,6
78,tour_1092,united kingdom,1-24,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,45,0,Cash,1,Friendly People,331500.0,1,45
79,tour_1095,italy,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,1,"Wonderful Country, Landscape, Nature",1989000.0,2,4
80,tour_1096,netherlands,25-44,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,1,Satisfies and Hope Come Back,2269330.0,1,30
81,tour_1097,south africa,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,3,7,Cash,1,Friendly People,1823250.0,1,10
82,tour_1098,south africa,25-44,Friends/Relatives,0,2,Meetings and Conference,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,1,0,Cash,0,Friendly People,414375.0,2,1
83,tour_1099,spain,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,15,7,Cash,1,"Wonderful Country, Landscape, Nature",8287500.0,2,22
84,tour_11,germany,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,0,No comments,165750.0,1,4
85,tour_1102,uganda,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,60,2,Cash,0, Wildlife,4966000.0,1,62
86,tour_1103,new zealand,1-24,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,1,Cash,0,No comments,1657500.0,1,3
87,tour_1104,australia,45-64,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,0,No comments,70000.0,1,4
88,tour_1107,united states of america,25-44,Friends/Relatives,0,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,11,0,Cash,0, Wildlife,4972500.0,2,11
89,tour_1108,netherlands,25-44,Spouse and Children,2,2,Other,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,90,0,Cash,0,Friendly People,100000.0,4,90
90,tour_1109,belgium,45-64,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,5,0,Credit Card,1,Friendly People,1400000.0,2,5
91,tour_1110,denmark,65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,0,1,1,1,0,14,0,Cash,0, Wildlife,9892025.0,4,14
92,tour_1111,united states of america,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,0,1,1,0,9,5,Cash,1, Wildlife,16575000.0,2,14
93,tour_1115,united kingdom,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,14,0,Cash,0,"Wonderful Country, Landscape, Nature",2403375.0,1,14
94,tour_1116,spain,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,0,1,0,6,2,Cash,1,Friendly People,7375875.0,2,8
95,tour_1118,norway,1-24,Friends/Relatives,4,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,11,6,Cash,1,"Wonderful Country, Landscape, Nature",7261380.0,4,17
96,tour_112,denmark,65+,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,0,1,1,0,14,0,Cash,0, Wildlife,50553750.0,4,14
97,tour_1120,netherlands,45-64,Alone,1,0,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,15,0,Credit Card,0, Wildlife,1657500.0,1,15
98,tour_1121,united kingdom,1-24,Alone,1,0,Volunteering,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,70,0,Cash,1, Wildlife,453866.0,1,70
99,tour_1122,zimbabwe,25-44,Alone,0,1,Scientific and Academic,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,21,0,Cash,1,Friendly People,828750.0,1,21
100,tour_1123,zambia,45-64,Friends/Relatives,1,1,Meetings and Conference,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Cash,1,Friendly People,414375.0,2,7
101,tour_1124,spain,25-44,Alone,1,0,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,12,6,Cash,1,Friendly People,2269330.0,1,18
102,tour_1125,united kingdom,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,12,3,Credit Card,0, Wildlife,2269330.0,4,15
103,tour_1126,germany,25-44,Alone,0,1,Leisure and Holidays,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,2,Cash,1,Friendly People,1657500.0,1,6
104,tour_1128,united states of america,25-44,Spouse,1,1,Meetings and Conference,Wildlife tourism,others,0,0,0,0,0,0,0,0,12,0,Cash,1,Friendly People,7458750.0,2,12
105,tour_1129,kenya,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,Trade fair,0,0,0,0,0,0,0,0,4,1,Credit Card,0,No comments,3315000.0,1,5
106,tour_113,norway,45-64,Alone,1,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,0,0,0,0,3,2,Credit Card,0, Wildlife,14917500.0,1,5
107,tour_1130,ireland,45-64,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,12,0,Credit Card,1,"Wonderful Country, Landscape, Nature",2154750.0,1,12
108,tour_1131,kenya,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,3,0,Credit Card,0,Friendly People,1044225.0,1,3
109,tour_1132,netherlands,65+,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,42,0,Cash,0,"Wonderful Country, Landscape, Nature",9116250.0,1,42
110,tour_1133,united kingdom,25-44,Spouse,0,1,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,6,0,Cash,0, Wildlife,2845050.0,1,6
111,tour_1134,sweden,25-44,Friends/Relatives,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,0,13,Cash,1,Friendly People,2486250.0,2,13
112,tour_1135,austria,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",1,0,1,0,1,0,1,0,4,3,Cash,1, Wildlife,1308683.0,1,7
113,tour_1136,switzerland,65+,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,0,0,0,0,15,6,Cash,1, Wildlife,38951250.0,2,21
114,tour_1137,congo,25-44,Alone,0,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,11,0,Cash,0,Friendly People,893392.5,1,11
115,tour_1138,norway,25-44,Friends/Relatives,1,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,6,7,Cash,1, Wildlife,1707225.0,2,13
116,tour_1139,south africa,25-44,Friends/Relatives,1,1,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,11,3,Credit Card,1,Friendly People,1553800.0,2,14
117,tour_114,united kingdom,65+,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",1,1,0,1,1,0,0,0,3,0,Cash,0,Excellent Experience,14509755.0,1,3
118,tour_1142,germany,45-64,Friends/Relatives,2,1,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,10,9,Cash,1,No comments,6807990.0,3,19
119,tour_1144,united kingdom,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,0,1,1,7,7,Cash,1,Friendly People,33287085.0,2,14
120,tour_1146,united states of america,25-44,Alone,1,0,Leisure and Holidays,Conference tourism,"Friends, relatives",0,0,0,0,0,0,0,0,14,1,Cash,0,Good service,663000.0,1,15
121,tour_1147,kenya,65+,Alone,0,1,Scientific and Academic,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,12,0,Cash,0,Friendly People,3775200.0,1,12
122,tour_1149,kenya,25-44,Friends/Relatives,5,5,Meetings and Conference,Beach tourism,Tanzania Mission Abroad,1,1,1,1,0,0,0,0,10,0,Cash,0, Wildlife,2060000.0,10,10
123,tour_115,norway,1-24,Friends/Relatives,0,2,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,4,Cash,1,Friendly People,1674075.0,2,8
124,tour_1150,china,1-24,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,24,3,Cash,1,Friendly People,2486250.0,1,27
125,tour_1151,india,25-44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Good service,2090107.5,1,3
126,tour_1152,united states of america,45-64,Spouse and Children,1,3,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,10,Cash,0,No comments,2486250.0,4,14
127,tour_1154,netherlands,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,0,7,3,Cash,1,Friendly People,3978000.0,1,10
128,tour_1155,united kingdom,1-24,Alone,1,0,Volunteering,Cultural tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,35,0,Cash,1,"Wonderful Country, Landscape, Nature",5221125.0,1,35
129,tour_1158,united states of america,1-24,Alone,1,0,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",1,0,1,1,0,1,1,0,3,0,Cash,1, Wildlife,3698565.0,1,3
130,tour_1159,sweden,25-44,Alone,0,1,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,2,0,Cash,0,No comments,663000.0,1,2
131,tour_116,united states of america,45-64,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Credit Card,1,Excellent Experience,21547500.0,1,30
132,tour_1161,italy,25-44,Children,1,2,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,0,15,Cash,0,"Wonderful Country, Landscape, Nature",1657500.0,3,15
133,tour_1162,india,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,others,0,0,0,0,0,0,0,0,6,0,Credit Card,0,No comments,4558125.0,1,6
134,tour_1163,new zealand,65+,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,0,6,2,Cash,1, Wildlife,7458750.0,2,8
135,tour_1164,united kingdom,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,others,0,0,0,0,0,0,0,0,14,0,Cash,0,Friendly People,994500.0,1,14
136,tour_1165,france,45-64,Friends/Relatives,2,1,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,1,1,1,0,1,1,1,0,4,4,Cash,1,"Wonderful Country, Landscape, Nature",13591500.0,3,8
137,tour_1166,france,45-64,Spouse and Children,1,2,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,5,0,Cash,1, Wildlife,14917500.0,3,5
138,tour_1167,france,45-64,Spouse and Children,3,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,0,0,0,12,0,Cash,1,"Wonderful Country, Landscape, Nature",24199500.0,4,12
139,tour_1168,australia,25-44,Friends/Relatives,2,0,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,0,7,0,Cash,1, Wildlife,5198457.0,2,7
140,tour_117,kenya,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,0,Cash,0,Friendly People,56000.0,1,2
