,ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,group_size,night_total
57,tour_120,UNITED KINGDOM,24-Jan,Alone,1,0,Volunteering,Hunting tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,3,0,Cash,1, Wildlife,1,3
58,tour_1204,SPAIN,45-64,Friends/Relatives,3,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,9,4,Cash,1,Friendly People,4,13
59,tour_1206,UNITED STATES OF AMERICA,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,90,0,Cash,0,No comments,1,90
60,tour_1218,KENYA,25-44,Alone,1,0,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,5,0,Cash,1,Good service,1,5
61,tour_1223,NORWAY,25-44,Friends/Relatives,1,2,Leisure and Holidays,Cultural tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,5,3,Cash,1,Friendly People,3,8
62,tour_1225,UNITED STATES OF AMERICA,24-Jan,Friends/Relatives,1,1,Scientific and Academic,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,40,6,Cash,1,Friendly People,2,46
63,tour_1227,ITALY,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,1,15,Cash,1,Good service,2,16
64,tour_1228,ITALY,24-Jan,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,0,Cash,0,Friendly People,1,2
65,tour_1229,MALTA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,0,7,Cash,1, Wildlife,2,7
66,tour_1232,UNITED KINGDOM,45-64,Spouse,0,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,0,1,1,0,0,7,6,Cash,1, Wildlife,1,13
67,tour_1236,NETHERLANDS,45-64,Spouse and Children,1,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,0,1,1,1,0,9,7,Credit Card,1, Wildlife,3,16
68,tour_1237,UNITED KINGDOM,24-Jan,Friends/Relatives,1,1,Leisure and Holidays,business,"Friends, relatives",0,0,0,0,0,0,0,0,33,0,Cash,1,Friendly People,2,33
69,tour_124,CANADA,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,7,12,Cash,1, Wildlife,2,19
70,tour_1240,UNITED KINGDOM,25-44,Alone,0,1,Leisure and Holidays,Beach tourism,others,0,0,0,0,0,0,0,0,9,0,Cash,0,Friendly People,1,9
71,tour_1243,UNITED STATES OF AMERICA,25-44,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,1,0,Cash,1,No comments,1,1
72,tour_125,UNITED KINGDOM,25-44,Friends/Relatives,2,0,Business,Wildlife tourism,others,0,0,0,0,0,0,0,0,10,0,Cash,1, Wildlife,2,10
73,tour_1250,ITALY,45-64,Friends/Relatives,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,0,1,0,10,0,Cash,0,No comments,4,10
74,tour_1251,ITALY,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,7,7,Cash,1,"Wonderful Country, Landscape, Nature",4,14
75,tour_1255,ETHIOPIA,25-44,Alone,1,0,Meetings and Conference,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,0,0,0,0,7,0,Cash,1, Wildlife,1,7
76,tour_1257,CANADA,25-44,Spouse and Children,2,1,Leisure and Holidays,Bird watching,"Friends, relatives",0,0,0,0,0,0,0,0,14,0,Credit Card,0,Good service,3,14
77,tour_1258,INDIA,25-44,Friends/Relatives,1,4,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,0,0,0,0,0,0,Cash,1, Wildlife,5,0
78,tour_1264,SOUTH AFRICA,45-64,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,0,Cash,0,Friendly People,1,2
79,tour_1266,UNITED STATES OF AMERICA,45-64,Friends/Relatives,1,1,Meetings and Conference,Cultural tourism,others,0,0,0,0,0,0,0,0,5,0,Cash,1,Friendly People,2,5
80,tour_1268,UNITED KINGDOM,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",1,0,1,1,1,1,0,0,13,4,Cash,1, Wildlife,2,17
81,tour_1269,SOUTH AFRICA,24-Jan,Friends/Relatives,0,3,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,1,0,Cash,1,Friendly People,3,1
82,tour_127,ITALY,25-44,Alone,0,1,Scientific and Academic,Hunting tourism,others,0,0,0,0,0,0,0,0,64,0,Cash,0,No comments,1,64
83,tour_1270,UNITED KINGDOM,65+,Alone,0,1,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Credit Card,0,Friendly People,1,4
84,tour_1272,SOUTH AFRICA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,2,0,Cash,0,No comments,1,2
85,tour_1277,BELGIUM,25-44,Spouse,1,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,24,0,Cash,0,"Wonderful Country, Landscape, Nature",2,24
86,tour_1280,GERMANY,25-44,Spouse and Children,2,3,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,16,0,Cash,1,Friendly People,5,16
87,tour_1283,GERMANY,24-Jan,Friends/Relatives,5,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",1,1,1,1,0,0,0,0,22,0,Cash,1, Wildlife,6,22
88,tour_1284,SOUTH AFRICA,25-44,Friends/Relatives,2,0,Business,Mountain climbing,"Friends, relatives",1,1,1,0,0,0,0,0,26,0,Other,0,Friendly People,2,26
89,tour_1285,OMAN,25-44,Spouse and Children,2,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,22,0,Cash,0,Good service,3,22
90,tour_1288,INDIA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,17,0,Cash,0,Friendly People,1,17
91,tour_1292,BELGIUM,25-44,Children,1,1,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",0,0,0,0,0,0,0,0,40,0,Cash,0,No comments,2,40
92,tour_1293,CZECH REPUBLIC,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,others,0,0,0,0,0,0,0,0,7,5,Cash,1, Wildlife,2,12
93,tour_1297,UNITED KINGDOM,45-64,Spouse and Children,2,2,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,12,0,Cash,0,No comments,4,12
94,tour_1299,UNITED STATES OF AMERICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,15,0,Cash,1,"Wonderful Country, Landscape, Nature",2,15
95,tour_130,UNITED KINGDOM,24-Jan,Alone,1,0,Volunteering,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,70,0,Cash,1,Friendly People,1,70
96,tour_1300,SOUTH AFRICA,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,10,0,Cash,1,No comments,1,10
97,tour_1301,NETHERLANDS,24-Jan,Alone,0,1,Scientific and Academic,Hunting tourism,"Travel, agent, tour operator",1,1,1,1,0,1,1,1,21,0,Cash,1,Friendly People,1,21
98,tour_1307,ITALY,25-44,Spouse,2,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,1,4,Cash,1,Excellent Experience,2,5
99,tour_131,GHANA,45-64,Alone,0,1,Meetings and Conference,Mountain climbing,"Friends, relatives",0,0,0,0,0,0,0,0,4,0,Cash,0,Friendly People,1,4
100,tour_1317,UAE,45-64,Alone,0,1,Leisure and Holidays,Beach tourism,"Friends, relatives",1,1,1,1,1,1,1,0,6,4,Cash,1,Friendly People,1,10
101,tour_1318,AUSTRALIA,25-44,Alone,0,1,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,31,11,Cash,1, Wildlife,1,42
102,tour_1320,UNITED STATES OF AMERICA,25-44,Alone,1,0,Scientific and Academic,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,62,3,Cash,1,Friendly People,1,65
103,tour_1322,CANADA,25-44,Alone,1,0,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Credit Card,0,Friendly People,1,7
104,tour_1323,UNITED STATES OF AMERICA,25-44,Alone,0,1,Business,Wildlife tourism,others,0,0,0,0,0,0,0,0,30,0,Cash,1,No comments,1,30
105,tour_1341,INDIA,65+,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,0,Cash,0,Friendly People,1,2
106,tour_1346,UNITED KINGDOM,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,6,1,Cash,1,Friendly People,2,7
107,tour_1348,GERMANY,25-44,Alone,1,0,Meetings and Conference,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,2,6,Credit Card,0,Friendly People,1,8
108,tour_1352,NETHERLANDS,45-64,Friends/Relatives,0,4,Meetings and Conference,Wildlife tourism,"Friends, relatives",1,1,0,0,0,0,0,0,3,0,Cash,1,"Wonderful Country, Landscape, Nature",4,3
109,tour_1354,UNITED STATES OF AMERICA,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,0,1,1,1,1,1,0,10,3,Cash,0,Friendly People,2,13
110,tour_1355,GERMANY,45-64,Alone,0,1,Leisure and Holidays,Cultural tourism,"Friends, relatives",1,1,0,0,0,0,0,0,16,3,Cash,1,No comments,1,19
111,tour_1365,KENYA,45-64,Alone,1,0,Leisure and Holidays,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,1,3
112,tour_1366,SWITZERLAND,45-64,Friends/Relatives,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,0,5,3,Cash,0, Wildlife,2,8
113,tour_1374,CANADA,25-44,Friends/Relatives,1,1,Leisure and Holidays,Conference tourism,others,0,0,0,0,0,0,0,0,11,1,Cash,1,Friendly People,2,12
114,tour_1378,KENYA,25-44,Alone,1,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,63,0,Cash,0, Wildlife,1,63
115,tour_1389,CANADA,45-64,Alone,1,0,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,Excellent Experience,1,30
116,tour_1392,MALAWI,25-44,Alone,0,1,Meetings and Conference,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,7,0,Cash,0,Friendly People,1,7
117,tour_1396,SOUTH AFRICA,24-Jan,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,5,1,Cash,1,No comments,2,6
118,tour_1398,PORTUGAL,25-44,Spouse,1,1,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",1,0,1,1,1,0,0,0,0,7,Cash,1,"Wonderful Country, Landscape, Nature",2,7
119,tour_140,SOUTH AFRICA,25-44,Alone,0,1,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,1,3
120,tour_1403,UAE,25-44,Friends/Relatives,0,4,Meetings and Conference,Cultural tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,5,0,Cash,1,No comments,4,5
121,tour_1407,NETHERLANDS,25-44,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,5,4,Cash,1, Wildlife,2,9
123,tour_1421,UNITED KINGDOM,24-Jan,Alone,1,0,Leisure and Holidays,Bird watching,"Travel, agent, tour operator",1,0,1,1,1,1,0,0,2,5,Cash,1, Wildlife,1,7
124,tour_1424,CHINA,25-44,Spouse,1,1,Meetings and Conference,Mountain climbing,Trade fair,1,1,1,1,1,0,0,0,6,0,Credit Card,1,"Wonderful Country, Landscape, Nature",2,6
125,tour_1428,SWITZERLAND,45-64,Spouse,1,1,Leisure and Holidays,Conference tourism,"Travel, agent, tour operator",1,0,1,1,1,0,1,0,17,5,Cash,1, Wildlife,2,22
126,tour_1433,SINGAPORE,25-44,Alone,0,1,Business,Wildlife tourism,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,1,0,Cash,1,Good service,1,1
127,tour_1434,ITALY,24-Jan,Friends/Relatives,9,1,Visiting Friends and Relatives,Hunting tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,37,0,Cash,1,No comments,10,37
128,tour_1435,SOUTH AFRICA,25-44,Friends/Relatives,1,1,Business,Wildlife tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,2,0,Cash,0,No comments,2,2
129,tour_1437,UNITED KINGDOM,25-44,Friends/Relatives,2,0,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,2,3
130,tour_1438,INDIA,25-44,Alone,0,1,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,3,Cash,1, Wildlife,1,6
131,tour_1441,KENYA,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Radio, TV, Web",0,0,0,0,0,0,0,0,2,0,Cash,0,Friendly People,1,2
132,tour_1442,SWEDEN,25-44,Alone,0,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,21,0,Cash,0,"Wonderful Country, Landscape, Nature",1,21
133,tour_1449,NETHERLANDS,25-44,Friends/Relatives,0,5,Business,Wildlife tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,1, Wildlife,5,3
134,tour_1450,SOUTH AFRICA,45-64,Spouse,1,1,Leisure and Holidays,Wildlife tourism,"Friends, relatives",1,1,1,1,1,1,1,0,13,0,Cash,0, Wildlife,2,13
135,tour_1451,OMAN,45-64,Children,0,2,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,3,0,Cash,0,Friendly People,2,3
136,tour_1459,FRANCE,24-Jan,Spouse and Children,1,1,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",1,1,1,1,0,0,1,1,7,0,Cash,1,No comments,2,7
137,tour_1463,BELGIUM,45-64,Alone,0,1,Visiting Friends and Relatives,Bird watching,"Newspaper, magazines,brochures",0,0,0,0,0,0,0,0,2,0,Cash,0,"Wonderful Country, Landscape, Nature",1,2
138,tour_1468,INDIA,45-64,Alone,0,1,Business,Wildlife tourism,"Travel, agent, tour operator",0,0,0,0,0,0,0,0,23,0,Cash,0,No comments,1,23
139,tour_1470,UGANDA,25-44,Alone,0,1,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,1,0,Cash,0,Friendly People,1,1
140,tour_1477,UNITED STATES OF AMERICA,45-64,Alone,0,1,Leisure and Holidays,business,"Friends, relatives",0,0,0,0,0,0,0,0,20,5,Cash,1,Friendly People,1,25
141,tour_1479,UAE,45-64,Spouse and Children,3,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,7,3,Cash,1,Excellent Experience,5,10
142,tour_1484,SWITZERLAND,45-64,Alone,1,0,Leisure and Holidays,Hunting tourism,"Friends, relatives",0,0,0,0,0,0,0,0,30,0,Cash,0,No comments,1,30
143,tour_1488,FRANCE,45-64,Spouse and Children,2,2,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",1,1,1,1,1,1,1,0,7,0,Cash,1, Wildlife,4,7
144,tour_1497,UAE,25-44,Spouse,1,1,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",1,0,1,1,1,1,1,1,3,0,Cash,1,Friendly People,2,3
145,tour_1499,AUSTRALIA,24-Jan,Alone,0,1,Volunteering,Wildlife tourism,"Travel, agent, tour operator",1,0,1,1,1,1,1,1,15,0,Cash,1,"Wonderful Country, Landscape, Nature",1,15
